final_action,signal_date,trade_date,stock_id,stock_name,source,bucket,strategy_type,score,entry_type,execution_flag,allowed,close,suggested_amount,target_weight,priority,reason,system_note,opportunity_score,opportunity_rank,top_opportunity,liquidity_level,liquidity_tag,liquidity_score,volume,turnover,chip_score,chip_label,chip_display,chip_reason,chip_hint,chip_valid_count,chip_missing,chip_confidence,section_opportunity_rank,section_top_opportunity,stock_name_chip_src,foreign_net_buy,trust_net_buy,dealer_net_buy,inst_net_buy,inst_buy_days,inst_valid,margin_balance,short_balance,margin_balance_change,short_balance_change,margin_valid,chip_market,behavior_hint,behavior_confidence,behavior_action_hint,updated_at,refresh_mode,date,name,market,open,high,low,ret1,mom3,mom5,mom10,mom20,mom60,ma5,ma10,ma20,ma60,vol20,vol_ma5,vol_ma20,volume_ratio,vol_dry_ratio,high_20,low_20,high_60,low_60,range_20,ma_max,ma_min,ma_converge_pct,ma20_slope,kd_k,kd_d,kd_cross,macd_diff,macd_signal,macd_hist,macd_cross,obv_proxy,obv_mom5,obv_up_count_3,low_non_down_count_3,obv_up_count_5,low_non_down_count_5,obv_up_count_10,low_non_down_count_10,history_count,has_60d_history,strategy_name,entry_score,action,action_label,action_sub,note,engine,market_regime,price_tier,ref_price,suggested_shares,estimated_total_cost,position_action,position_reason,position_hint,take_profit_hint,risk_flag,avg_price,shares,lots,ma5_status,ma20_status,pnl_pct,price_source,chip_source,position_source,ma10_status,ma5_label,ma10_label,ma20_label,kbar_type,k_structure,kline_structure,tech_reason,kbar_reason,tech_decision_hint
SELL,2026-05-07,2026-05-08,2330,台積電,EXIT,POSITION,POSITION,100,SELL,SELL,True,2180.0,2180000.0,,0,觸發停損 -6.44% | 損益 -6.44% | 均價 2330.0 | 張數 1.0,持倉風控：必須優先處理出場｜風險 HIGH,0.0,,,HIGH,高流動性,98.7,38026963.0,85560666750000.0,35.0,⚠️ 分散,35（⚠️ 分散）,三大法人賣超｜投信買超｜融資融券資料有限,籌碼普通或資料有限，需搭配技術面確認。,1,部分籌碼資料有限,📉 低信心,,,台積電,-21182649.0,596042.0,743518.0,-19843089.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,🔻 結構轉弱（優先控風險）,高,先控風險，不急著攤平；等站回關鍵均線再觀察。,2026-05-07 09:01:13,behavior_interpretation,,,,,,,,,,,,,2218.0,,2105.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟠 停利觀察,獲利已達 332.69%，但短線或籌碼出現轉弱跡象。,建議分批停利，保留部分部位觀察。,高獲利區出現轉弱，不要把獲利全部吐回去，先收一部分。,TAKE_PROFIT_20_WEAK,520.0,1000.0,1.0,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,332.69,price_panel_daily.csv + feature_panel_daily.csv,chip_source_twse.csv,manual_positions.csv,MA10：依出場風控判斷,MA5：貼近｜→ 盤整,MA10：依出場風控判斷,MA20：站上｜↑ 強勢,跌破型K棒,短線轉弱,短線轉弱,MA5：貼近｜→ 盤整｜MA10：依出場風控判斷｜MA20：站上｜↑ 強勢｜K棒：跌破型K棒｜K線：短線轉弱,K棒型態：跌破型K棒｜K線結構：短線轉弱,依原策略執行，技術欄位用於確認節奏與風險。
SELL,2026-05-07,2026-05-08,2409,友達,EXIT,POSITION,POSITION,100,SELL,SELL,True,17.3,51900.0,,0,觸發停損 -8.95% | 跌破 MA20 | 5日動能轉弱 | 損益 -8.95% | 均價 19.0 | 張數 3.0,持倉風控：必須優先處理出場｜風險 MEDIUM,0.0,,,HIGH,高流動性,97.74,247854591.0,4473775367550.0,15.0,❌ 極度分散,15（❌ 極度分散）,三大法人賣超｜投信賣超｜融資融券資料有限,籌碼偏弱且資料有限，避免重倉追高。,1,部分籌碼資料有限,📉 低信心,,,友達,-19189539.0,-12000.0,1399870.0,-17801669.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE,🔻 結構轉弱（優先控風險）,高,先控風險，不急著攤平；等站回關鍵均線再觀察。,2026-05-07 09:01:13,behavior_interpretation,,,,,,,,,,,,,17.47,,18.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟡 觀察,跌破 MA20，中線趨勢開始轉弱。,先觀察或減碼，等待重新站回 MA20。,若有獲利可先停利一部分；若虧損需控風險。,BELOW_MA20,19.0,3000.0,3.0,MA5：站上｜↑ 強勢,MA20：貼近｜→ 盤整,-5.0,price_panel_daily.csv + feature_panel_daily.csv,chip_source_twse.csv,manual_positions.csv,MA10：依出場風控判斷,MA5：站上｜↑ 強勢,MA10：依出場風控判斷,MA20：貼近｜→ 盤整,跌破型K棒,短線轉弱,短線轉弱,MA5：站上｜↑ 強勢｜MA10：依出場風控判斷｜MA20：貼近｜→ 盤整｜K棒：跌破型K棒｜K線：短線轉弱,K棒型態：跌破型K棒｜K線結構：短線轉弱,依原策略執行，技術欄位用於確認節奏與風險。
TEST,2026-05-07,2026-05-08,8299,群聯,ENTRY,CORE,CORE,80.0,BREAK,WATCH,False,2327.32,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,WATCH：保留觀察，不下單｜大盤中性 ：BUY 降級 TEST，控制追高｜全清單 TOP2：優先觀察發動機會｜試單清單 TOP1：本區最可能發動｜試單清單 TOP5：本區最可能發動,139.52,2,TOP2,HIGH,高流動性,98.63,13302807.0,30929026275000.0,85.0,🔥 高度集中,85（🔥 高度集中）,三大法人買超｜投信買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,5,試單TOP5,群聯,384918.0,450905.0,-109513.0,726310.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-07 09:01:13,behavior_interpretation,2026-05-07,群聯,TPEX,2300.0,2325.0,2235.0,0.0,0.0,0.0,0.3636363636363635,0.4396284829721362,0.0086767895878525,2325.0,2211.5,1946.0,1867.3333333333333,0.0689239012929558,13302807.0,10418709.2,1.2768191092232422,1.2768191092232422,2325.0,1555.0,2465.0,1475.0,0.3311827956987823,2325.0,1946.0,0.1630107526881019,0.0991245410900315,98.45407779228724,93.99309259180907,0,168.81790643737008,115.8521001487832,52.96580628858689,0,503298190.0,0.0,0.0,3.0,0.0,5.0,2.0,9.0,2756,True,ALPHA Trend Momentum,114.0,BUY,買進,高流動性強勢買進,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA,RANGE,1000以上,2327.32,12.89,30045.0,,,,,,,,,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
TEST,2026-05-07,2026-05-08,8042,金山電,ENTRY,CORE,CORE,80.0,BREAK,WATCH,False,77.38,12000.0,0.012,3,CORE早期卡位｜剛轉強｜靠近MA20｜量能回溫｜高流動性,WATCH：保留觀察，不下單｜大盤中性 ：BUY 降級 TEST，控制追高｜全清單 TOP3：優先觀察發動機會｜試單清單 TOP2：本區最可能發動,138.8,3,TOP3,HIGH,高流動性,96.57,25650434.0,1982778548200.0,75.85,🟢 偏集中,76（🟢 偏集中）,三大法人買超｜投信買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,2,試單TOP2,,15823.0,7851.0,-7972.0,15702.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX,⚪ 盤整觀望（等待方向）,中低,先觀察，不急進場；等突破、量能或均線方向出現。,2026-05-07 09:01:13,behavior_interpretation,2026-05-07,金山電,TPEX,75.0,77.8,71.5,0.0,0.0,0.0,0.3123938539464499,0.3953068207749233,0.2672131147540983,77.3,73.11999999999999,68.20999961853026,59.65833306630452,0.0902874902016551,25650434.0,13051161.1,1.9653756323642344,1.9653756323642344,77.8,53.4,77.8,49.09999847412109,0.3156532988316215,77.3,68.20999961853026,0.1175937953603123,0.0960951335690088,95.2412787757674,88.65628744798508,0,5.359908553842175,4.296191602633127,1.063716951209048,0,367073815.0,0.0,0.0,3.0,0.0,5.0,1.0,8.0,2756,True,CORE Early Entry,96.0,BUY,買進,早期卡位,CORE早期卡位｜剛轉強｜靠近MA20｜量能回溫｜高流動性,CORE,RANGE,50-100,77.38,155.08,12018.0,,,,,,,,,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
TEST,2026-05-07,2026-05-08,3122,笙泉,ENTRY,CORE,CORE,80.0,BREAK,TOP,True,36.34,20000,0.02,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,TOP + timing 合格：允許分批｜大盤中性 ：BUY 降級 TEST，控制追高｜全清單 TOP5：優先觀察發動機會｜試單清單 TOP3：本區最可能發動,131.69,5,TOP5,HIGH,高流動性,76.57,1669867.0,60616172100.0,66.0,🟢 偏集中,66（🟢 偏集中）,三大法人買超｜投信買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,3,試單TOP3,笙泉,2000.0,2000.0,0.0,4000.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-07 09:01:13,behavior_interpretation,2026-05-07,笙泉,TPEX,33.9,36.3,33.3,0.0,0.0,0.0,0.2099999999999999,0.4519999999999999,0.3908045773735691,36.3,35.94,31.284999961853025,27.71333345413208,0.0349178614565592,1669867.0,1137416.35,1.4681229085549885,1.4681229085549885,36.3,24.64999961853028,36.3,23.600000381469727,0.3209366496184237,36.3,31.284999961853025,0.1381542710195266,0.1003253305812958,99.6353705560275,98.34755560263616,0,2.85475473528874,2.4111174101938264,0.4436373250949135,0,559241774.0,0.0,0.0,3.0,0.0,5.0,3.0,9.0,2756,True,ALPHA Trend Momentum,120.0,BUY,買進,高流動性強勢買進,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA,RANGE,50以下,36.34,825.62,30045.0,,,,,,,,,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
TEST,2026-05-07,2026-05-08,5347,世界,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,169.0,0.0,0.0,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP1：優先觀察發動機會｜試單清單 TOP4：本區最可能發動｜觀察清單 TOP1：本區最可能發動,131.62,1,TOP1,HIGH,高流動性,99.2,55462570.0,9373174330000.0,85.0,🔥 高度集中,85（🔥 高度集中）,三大法人買超｜投信買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,1,觀察TOP1,世界,283433.0,453877.0,4444.0,741754.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-07 09:01:13,behavior_interpretation,2026-05-07,世界,TPEX,169.0,169.0,165.5,0.0,0.0,0.0,0.2426470588235294,0.285171102661597,0.1496598639455781,169.0,163.1,148.025,130.39166666666668,0.0552890093700275,55462570.0,44587897.1,1.2438929307567634,1.2438929307567634,169.0,124.0,169.0,105.0,0.2662721893475369,169.0,148.025,0.1241124260347685,0.0856252291889577,98.3754094958615,94.2614439677055,0,12.35148747800568,10.361117436500775,1.990370041504903,0,1321688916.0,0.0,0.0,3.0,0.0,5.0,2.0,9.0,2756,True,ALPHA Trend Momentum,106.0,WATCH,觀察,高流動性觀察,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA,RANGE,100-300,169.17,0.0,0.0,,,,,,,,,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
TEST,2026-05-07,2026-05-08,8299,群聯,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,2325.0,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP2：優先觀察發動機會｜試單清單 TOP1：本區最可能發動｜試單清單 TOP5：本區最可能發動,131.42,2,TOP2,HIGH,高流動性,98.63,13302807.0,30929026275000.0,85.0,🔥 高度集中,85（🔥 高度集中）,三大法人買超｜投信買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,5,試單TOP5,群聯,384918.0,450905.0,-109513.0,726310.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-07 09:01:13,behavior_interpretation,2026-05-07,群聯,TPEX,2300.0,2325.0,2235.0,0.0,0.0,0.0,0.3636363636363635,0.4396284829721362,0.0086767895878525,2325.0,2211.5,1946.0,1867.3333333333333,0.0689239012929558,13302807.0,10418709.2,1.2768191092232422,1.2768191092232422,2325.0,1555.0,2465.0,1475.0,0.3311827956987823,2325.0,1946.0,0.1630107526881019,0.0991245410900315,98.45407779228724,93.99309259180907,0,168.81790643737008,115.8521001487832,52.96580628858689,0,503298190.0,0.0,0.0,3.0,0.0,5.0,2.0,9.0,2756,True,ALPHA Trend Momentum,114.0,BUY,買進,高流動性強勢買進,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA,RANGE,1000以上,2327.32,12.89,30045.0,,,,,,,,,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
TEST,2026-05-07,2026-05-08,5464,霖宏,ENTRY,CORE,CORE,80.0,BREAK,TOP,True,43.39,20000,0.02,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,TOP + timing 合格：允許分批｜大盤中性 ：BUY 降級 TEST，控制追高,131.05,,,HIGH,高流動性,75.54,1425588.0,61799239800.0,50.0,🟡 普通,50（🟡 普通）,法人中性｜融資融券資料有限,籌碼普通或資料有限，需搭配技術面確認。,1,部分籌碼資料有限,📉 低信心,,,霖宏,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-07 09:01:13,behavior_interpretation,2026-05-07,霖宏,TPEX,43.35,43.35,43.35,0.0,0.0,0.0,0.3718354264774151,0.5157342455172473,0.7033398310591294,43.35,40.87500007629394,35.75750001907348,30.095833346048995,0.0902257474511586,1425588.0,818930.65,1.7407920927126102,1.7407920927126102,43.35,28.549999237060547,43.35,24.64999961853028,0.3414071686873829,43.35,35.75750001907348,0.1751441748731574,0.1173345804983616,98.48653293401584,94.8567963942262,0,4.073983863516908,3.2499444792787324,0.8240393842381755,0,174373838.0,0.0,0.0,3.0,0.0,5.0,2.0,9.0,2756,True,ALPHA Trend Momentum,120.0,BUY,買進,高流動性強勢買進,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA,RANGE,50以下,43.39,691.35,30045.0,,,,,,,,,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
TEST,2026-05-07,2026-05-08,8042,金山電,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,77.3,12000.0,0.012,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP3：優先觀察發動機會｜試單清單 TOP2：本區最可能發動,130.7,3,TOP3,HIGH,高流動性,96.57,25650434.0,1982778548200.0,75.85,🟢 偏集中,76（🟢 偏集中）,三大法人買超｜投信買超｜融資融券資料有限,籌碼偏集中但資料有限，可搭配技術面確認，不宜單獨重倉。,1,部分籌碼資料有限,📉 低信心,2,試單TOP2,,15823.0,7851.0,-7972.0,15702.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-07 09:01:13,behavior_interpretation,2026-05-07,金山電,TPEX,75.0,77.8,71.5,0.0,0.0,0.0,0.3123938539464499,0.3953068207749233,0.2672131147540983,77.3,73.11999999999999,68.20999961853026,59.65833306630452,0.0902874902016551,25650434.0,13051161.1,1.9653756323642344,1.9653756323642344,77.8,53.4,77.8,49.09999847412109,0.3156532988316215,77.3,68.20999961853026,0.1175937953603123,0.0960951335690088,95.2412787757674,88.65628744798508,0,5.359908553842175,4.296191602633127,1.063716951209048,0,367073815.0,0.0,0.0,3.0,0.0,5.0,1.0,8.0,2756,True,CORE Early Entry,96.0,BUY,買進,早期卡位,CORE早期卡位｜剛轉強｜靠近MA20｜量能回溫｜高流動性,CORE,RANGE,50-100,77.38,155.08,12018.0,,,,,,,,,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
TEST,2026-05-07,2026-05-08,6229,研通,ENTRY,CORE,CORE,80.0,BREAK,WATCH,False,28.48,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,WATCH：保留觀察，不下單｜大盤中性 ：BUY 降級 TEST，控制追高,129.48,,,HIGH,高流動性,71.71,1246155.0,35453109750.0,50.0,🟡 普通,50（🟡 普通）,法人中性｜融資融券資料有限,籌碼普通或資料有限，需搭配技術面確認。,1,部分籌碼資料有限,📉 低信心,,,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX,🚀 主力拉升（趨勢延續）,高,可續抱；若是試單，可觀察是否進入加碼條件。,2026-05-07 09:01:13,behavior_interpretation,2026-05-07,研通,TPEX,26.6,28.45,26.3,0.0,0.0,0.0,0.120078756979375,0.4189526724476298,0.2080679796892877,28.45,27.884999961853037,26.322500190734864,23.313333371480308,0.0443964749386302,1246155.0,848734.65,1.4682504125405962,1.4682504125405962,28.45,20.200000762939453,28.45,20.0,0.2899823984805119,28.45,26.322500190734864,0.0747803096376223,0.0818947760688819,98.4067864872034,94.49756272129504,0,1.6400008780657205,1.5110907763649015,0.1289101017008187,0,260714153.0,0.0,0.0,3.0,0.0,5.0,2.0,9.0,2756,True,ALPHA Trend Momentum,120.0,BUY,買進,高流動性強勢買進,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,ALPHA,RANGE,50以下,28.48,1053.43,30045.0,,,,,,,,,MA5：貼近｜→ 盤整,MA20：站上｜↑ 強勢,,,,,MA10：站上｜↑ 強勢,MA5：貼近｜→ 盤整,MA10：站上｜↑ 強勢,MA20：站上｜↑ 強勢,突破確認K,多頭排列,多頭排列,MA5：貼近｜→ 盤整｜MA10：站上｜↑ 強勢｜MA20：站上｜↑ 強勢｜K棒：突破確認K｜K線：多頭排列,K棒型態：突破確認K｜K線結構：多頭排列,依原策略執行，技術欄位用於確認節奏與風險。
